EmpID,FirstName,LastName,StartDate,Position,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,DOB,State,Gender,Pincode,Performance ,Current Emp Rating,CompanyName
3427,Ishaan,Sharma,20-Sep-19,Database Administrator,Ravi Kumar,ishaan.sharma@unifiedmentors.com,CCDR,Active,Contract,Zone C,Temporary,Backend,07-10-1969,KA,Female,46036,Fully Meets,4,Unified Mentors Pvt Ltd
3428,Aarav,Jain,11-Feb-23,Data Analyst,Sita Desai,aarav.jain@unifiedmentors.com,EW,Active,Contract,Zone A,Part-Time,Backend,30-08-1965,KA,Male,45491,Fully Meets,3,Unified Mentors Pvt Ltd
3429,Aanya,Mehta,10-Dec-18,Full stack developer,Anjali Rao,aanya.mehta@unifiedmentors.com,PL,Active,Full-Time,Zone B,Part-Time,Development,06-10-1991,RJ,Male,69250,Fully Meets,4,Unified Mentors Pvt Ltd
3430,Arjun,Nair,21-Jun-21,DevOps Engineer,Meena Joshi,arjun.nair@unifiedmentors.com,CCDR,Active,Contract,Zone A,Full-Time,DevOps,04-04-1998,MP,Male,29561,Fully Meets,2,Unified Mentors Pvt Ltd
3431,Aarav,Nair,29-Jun-19,Cloud Architect,Rahul Mehta,aarav.nair@unifiedmentors.com,TNS,Active,Contract,Zone A,Temporary,Cloud,29-08-1969,DL,Female,74836,Fully Meets,3,Unified Mentors Pvt Ltd
3432,Madhav,Khan,17-Jan-20,Database Administrator,Anil Kapoor,madhav.khan@unifiedmentors.com,BPC,Active,Contract,Zone B,Full-Time,Backend,03-04-1949,UP,Male,27124,Fully Meets,3,Unified Mentors Pvt Ltd
3433,Rohan,Sharma,06-Apr-22,Software Developer,Rahul Mehta,rohan.sharma@unifiedmentors.com,WBL,Active,Full-Time,Zone B,Temporary,Development,01-07-1942,MH,Female,29218,Exceeds,4,Unified Mentors Pvt Ltd
3434,Rohan,Nair,06-Nov-20,IT Support Specialist,Meena Joshi,rohan.nair@unifiedmentors.com,CCDR,Active,Contract,Zone C,Full-Time,Support,07-03-1957,GJ,Female,25458,Fully Meets,2,Unified Mentors Pvt Ltd
3435,Nisha,Khan,18-Aug-18,System Administrator,Anil Kapoor,nisha.khan@unifiedmentors.com,NEL,Active,Contract,Zone B,Part-Time,Admin,15-05-1974,WB,Male,91483,Exceeds,5,Unified Mentors Pvt Ltd
3436,Tanvi,Nair,21-Jan-22,Cybersecurity Analyst,Neha Shah,tanvi.nair@unifiedmentors.com,BPC,Active,Part-Time,Zone B,Temporary,Cyber,11-11-1949,WB,Male,80445,Fully Meets,5,Unified Mentors Pvt Ltd
3437,Rohan,Jain,04-Aug-23,Project Manager,Vikram Singh,rohan.jain@unifiedmentors.com,SVG,Active,Contract,Zone B,Temporary,Project management,26-01-1964,KA,Female,11259,Fully Meets,5,Unified Mentors Pvt Ltd
3438,Ishaan,Sharma,10-Aug-18,Database Administrator,Neha Shah,ishaan.sharma@unifiedmentors.com,MSC,Active,Full-Time,Zone C,Temporary,Backend,06-04-1948,RJ,Female,10274,Fully Meets,3,Unified Mentors Pvt Ltd
3439,Aarav,Sharma,25-May-22,Data Analyst,Meena Joshi,aarav.sharma@unifiedmentors.com,EW,Active,Full-Time,Zone A,Temporary,Backend,24-11-1981,GJ,Male,67529,Fully Meets,3,Unified Mentors Pvt Ltd
3440,Madhav,Reddy,05-Dec-19,Full stack developer,Meena Joshi,madhav.reddy@unifiedmentors.com,CCDR,Active,Contract,Zone A,Full-Time,Development,06-11-1951,KA,Female,77520,Fully Meets,3,Unified Mentors Pvt Ltd
3441,Ishaan,Khan,28-Apr-19,DevOps Engineer,Ravi Kumar,ishaan.khan@unifiedmentors.com,BPC,Active,Part-Time,Zone A,Part-Time,DevOps,21-11-1989,UP,Male,82648,Exceeds,4,Unified Mentors Pvt Ltd
